City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Katsuura,JP,35.1333,140.3,75.31,67,1,12.44,clear sky
306,Kushima,JP,31.4583,131.2333,80.64,61,83,9.33,broken clouds
307,Ballybofey,IE,54.8,-7.7833,44.02,96,55,3.06,broken clouds
308,Key West,US,24.5557,-81.7826,84.2,70,1,5.75,clear sky
309,Sumkino,RU,58.1108,68.3244,29.7,85,100,4.14,overcast clouds
310,Severomuysk,RU,56.1481,113.4267,19.31,87,97,3.42,overcast clouds
311,Mocuba,MZ,-16.8392,36.9856,71.08,94,8,3.47,clear sky
312,Devarkonda,IN,16.7,78.9333,75.22,91,100,4.63,overcast clouds
313,Berlevag,NO,70.8578,29.0864,50.76,80,100,26.15,overcast clouds
314,Hasaki,JP,35.7333,140.8333,77.4,69,3,12.59,clear sky
315,Tynda,RU,55.1667,124.7167,30.13,69,90,3.24,overcast clouds
316,Kumla,SE,59.1277,15.1434,53.67,95,51,4.61,fog
317,Fort Nelson,CA,58.8053,-122.7002,44.19,45,75,3.44,broken clouds
318,Thinadhoo,MV,0.5333,72.9333,83.86,74,57,19.15,broken clouds
319,Kimbe,PG,-5.5502,150.1429,88.61,59,95,2.68,overcast clouds
320,Qaanaaq,GL,77.484,-69.3632,26.58,71,100,6.44,overcast clouds
321,Novopokrovka,UA,49.8425,36.5477,48.58,58,100,7.54,overcast clouds
322,East London,ZA,-33.0153,27.9116,56.28,85,68,4.74,light rain
323,Bonavista,CA,48.6499,-53.1147,47.12,74,100,24.67,overcast clouds
324,Yeppoon,AU,-23.1333,150.7333,85.78,50,7,10.45,clear sky
325,Tirschenreuth,DE,49.8825,12.3331,54.18,96,100,1.99,light rain
326,Hailun,CN,47.45,126.9333,44.96,64,49,2.15,scattered clouds
327,Porbandar,IN,21.6422,69.6093,81.1,78,25,6.33,scattered clouds
328,Henties Bay,NA,-22.116,14.2845,54.86,89,0,3.15,clear sky
329,Krasnoselkup,RU,65.7,82.4667,30.24,97,100,16.06,light snow
330,Abha,SA,18.2164,42.5053,59.25,82,0,0.0,clear sky
331,Villa Union,MX,23.2,-106.2333,88.92,66,20,5.75,few clouds
332,Maxixe,MZ,-23.8597,35.3472,70.39,92,100,9.33,light rain
333,Itarema,BR,-2.9248,-39.9167,79.59,77,91,15.52,overcast clouds
334,Half Moon Bay,US,37.4636,-122.4286,91.74,45,1,12.66,clear sky
335,Bodden Town,KY,19.2833,-81.25,83.93,82,20,1.99,few clouds
336,San Patricio,US,28.017,-97.5169,85.84,52,90,5.46,overcast clouds
337,Kulhudhuffushi,MV,6.6221,73.07,81.03,81,99,20.76,overcast clouds
338,Domna,RU,51.8971,113.1573,32.16,80,7,4.47,clear sky
339,Paciran,ID,-6.8767,112.3761,78.57,76,48,6.64,scattered clouds
340,Atbasar,KZ,51.8,68.3333,27.23,86,36,13.85,scattered clouds
341,Garango,BF,11.8,-0.5506,81.36,59,15,5.08,few clouds
342,Quatre Cocos,MU,-20.2078,57.7625,68.09,85,0,3.56,clear sky
343,Ranong,TH,9.9658,98.6348,75.13,92,100,7.07,overcast clouds
344,Darab,IR,28.7519,54.5444,74.14,50,2,3.13,clear sky
